,title,cast,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,director,Action,Adventure,Animation,Fantasy,Science Fiction,Romance,TV Movie,Crime,Thriller,Horror,Drama,Comedy,Foreign,Family,Mystery,War,History,Documentary,Music,Western,Steven Spielberg,Clint Eastwood,Ridley Scott,Robert Rodriguez,Martin Scorsese,Renny Harlin,Steven Soderbergh,Tim Burton,Oliver Stone,Robert Zemeckis,Brian De Palma,Woody Allen,Michael Bay,Joel Schumacher,Tony Scott,Bobby Farrelly,Ron Howard,Kevin Smith,Paul W.S. Anderson,David Fincher,Richard Donner,Rob Reiner,Shawn Levy,Richard Linklater,Wes Craven,Francis Ford Coppola,John Carpenter,Spike Lee,Barry Levinson,Chris Columbus,Peter Jackson,Joel Coen,M. Night Shyamalan,Rob Cohen,Adam Shankman,Quentin Tarantino,Christopher Nolan,Antoine Fuqua,Danny Boyle,Dennis Dugan,Bryan Singer,Roland Emmerich,John McTiernan,Alfred Hitchcock,Sam Raimi,F. Gary Gray,Stephen Frears,Todd Phillips,John Singleton,Phillip Noyce,Doug Liman,Zack Snyder,Lasse Hallström,James Cameron,Tom Shadyac,Harold Ramis,Martin Campbell,Jay Roach,Simon West,Sam Mendes,George Miller,Edward Zwick,Marc Forster,Ang Lee,Gore Verbinski,Wolfgang Petersen,Wes Anderson,Brett Ratner,Barry Sonnenfeld,Guy Ritchie,Garry Marshall,Paramount Pictures,Universal Pictures,Columbia Pictures,Twentieth Century Fox Film Corporation,New Line Cinema,Walt Disney Pictures,Village Roadshow Pictures,United Artists,Miramax Films,Columbia Pictures Corporation,Warner Bros.,DreamWorks SKG
10,Superman Returns,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",270000000.0,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",en,57.925623,"['DC Comics', 'Legendary Pictures', 'Warner Bros.']",['United States of America'],2006-06-28,391081192.0,154.0,"['English', 'Français', 'Deutsch']",5.4,1400.0,Bryan Singer,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Quantum of Solace,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",200000000.0,"['Adventure', 'Action', 'Thriller', 'Crime']",en,107.928811,['Eon Productions'],"['United Kingdom', 'United States of America']",2008-10-30,586090727.0,106.0,"['English', 'Español', 'Italiano', 'Français', 'Deutsch']",6.1,2965.0,Marc Forster,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Pirates of the Caribbean: Dead Man's Chest,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",200000000.0,"['Adventure', 'Fantasy', 'Action']",en,145.84737900000005,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['Jamaica', 'United States of America', 'Bahamas', 'Dominica']",2006-06-20,1065659812.0,151.0,"['English', 'Türkçe', 'ελληνικά', '普通话']",7.0,5246.0,Gore Verbinski,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,The Lone Ranger,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",255000000.0,"['Action', 'Adventure', 'Western']",en,49.046956,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil']",['United States of America'],2013-07-03,89289910.0,149.0,['English'],5.9,2311.0,Gore Verbinski,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,Man of Steel,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",225000000.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,99.398009,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment']","['United Kingdom', 'United States of America']",2013-06-12,662845518.0,143.0,['English'],6.5,6359.0,Zack Snyder,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,The Chronicles of Narnia: Prince Caspian,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",225000000.0,"['Adventure', 'Family', 'Fantasy']",en,53.978602,"['Walt Disney', 'Walden Media', 'Stillking Films']","['Czech Republic', 'Poland', 'Slovenia', 'United States of America']",2008-05-15,419651413.0,150.0,['English'],6.3,1630.0,Andrew Adamson,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,The Avengers,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",220000000.0,"['Science Fiction', 'Action', 'Adventure']",en,144.448633,"['Paramount Pictures', 'Marvel Studios']",['United States of America'],2012-04-25,1519557910.0,143.0,['English'],7.4,11776.0,Joss Whedon,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Pirates of the Caribbean: On Stranger Tides,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",380000000.0,"['Adventure', 'Action', 'Fantasy']",en,135.413856,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",['United States of America'],2011-05-14,1045713802.0,136.0,"['English', 'Español']",6.4,4948.0,Rob Marshall,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,Men in Black 3,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",225000000.0,"['Action', 'Comedy', 'Science Fiction']",en,52.035179,"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ']",['United States of America'],2012-05-23,624026776.0,106.0,['English'],6.2,4160.0,Barry Sonnenfeld,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,The Hobbit: The Battle of the Five Armies,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",250000000.0,"['Action', 'Adventure', 'Fantasy']",en,120.965743,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures']","['New Zealand', 'United States of America']",2014-12-10,956019788.0,144.0,['English'],7.1,4760.0,Peter Jackson,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,The Amazing Spider-Man,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",215000000.0,"['Action', 'Adventure', 'Fantasy']",en,89.866276,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",['United States of America'],2012-06-27,752215857.0,136.0,['English'],6.5,6586.0,Marc Webb,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Robin Hood,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",200000000.0,"['Action', 'Adventure']",en,37.668301,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions']","['United Kingdom', 'United States of America']",2010-05-12,310669540.0,140.0,"['English', 'ภาษาไทย']",6.2,1398.0,Ridley Scott,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,The Hobbit: The Desolation of Smaug,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",250000000.0,"['Adventure', 'Fantasy']",en,94.370564,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures']","['New Zealand', 'United States of America']",2013-12-11,958400000.0,161.0,['English'],7.6,4524.0,Peter Jackson,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,The Golden Compass,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",180000000.0,"['Adventure', 'Fantasy']",en,42.990906,"['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field']","['United Kingdom', 'United States of America']",2007-12-04,372234864.0,113.0,"['Íslenska', 'English', 'Pусский', 'Français']",5.8,1303.0,Chris Weitz,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,King Kong,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",207000000.0,"['Adventure', 'Drama', 'Action']",en,61.22601,"['WingNut Films', 'Universal Pictures', 'Big Primate Pictures']","['New Zealand', 'United States of America', 'Germany']",2005-12-14,550000000.0,187.0,['English'],6.6,2337.0,Peter Jackson,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,Titanic,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",200000000.0,"['Drama', 'Romance', 'Thriller']",en,100.025899,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",['United States of America'],1997-11-18,1845034188.0,194.0,"['English', 'Français', 'Deutsch', 'svenska', 'Italiano', 'Pусский']",7.5,7562.0,James Cameron,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
26,Captain America: Civil War,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",250000000.0,"['Adventure', 'Action', 'Science Fiction']",en,198.372395,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures']",['United States of America'],2016-04-27,1153304495.0,147.0,"['Română', 'English', 'Deutsch', 'Pусский']",7.1,7241.0,Anthony Russo,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Battleship,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",209000000.0,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",en,64.928382,"['Universal Pictures', 'Hasbro', 'Bluegrass Films']",['United States of America'],2012-04-11,303025485.0,131.0,"['English', 'ภาษาไทย']",5.5,2114.0,Peter Berg,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,Jurassic World,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",150000000.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",en,418.708552,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures']",['United States of America'],2015-06-09,1513528810.0,124.0,['English'],6.5,8662.0,Colin Trevorrow,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Skyfall,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",200000000.0,"['Action', 'Adventure', 'Thriller']",en,93.004993,['Columbia Pictures'],"['United Kingdom', 'United States of America']",2012-10-25,1108561013.0,143.0,['English'],6.9,7604.0,Sam Mendes,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,Spider-Man 2,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",200000000.0,"['Action', 'Adventure', 'Fantasy']",en,35.149586,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America'],2004-06-25,783766341.0,127.0,"['English', 'Pусский', '普通话']",6.7,4321.0,Sam Raimi,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,Iron Man 3,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",200000000.0,"['Action', 'Adventure', 'Science Fiction']",en,77.68208,['Marvel Studios'],"['China', 'United States of America']",2013-04-18,1215439994.0,130.0,['English'],6.8,8806.0,Shane Black,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
